"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"DIELECTRIC";"HOUSEPART";"LABEL01";"LABEL02";"LABEL03";"LABEL04";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"POPULATE";"SUPPLIER";"TESTATTR";"TOLERANCE";"URL";"VALUE";"VOLTAGE";"WATTAGE";
"1";"0";"RESISTOR_0402";"R0402";"R9";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"ERJ-2GE0R00X";"";"";"";"";"1";"";"";"";"";"";"";"";
"2";"0.01u";"CAPACITOR_NP_0402";"C0402";"C13, C14";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"CL05B103KB5NNNC";"";"";"";"";"1";"";"";"";"";"";"";"";
"11";"0.1u";"CAPACITOR_NP_0402";"C0402";"C15, C18, C19, C20, C24, C25, C26, C27, C28, C31, C51";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"GCM155R71H104KE02D";"";"";"";"";"1";"";"";"";"";"";"";"";
"1";"10k";"RESISTOR_0402";"R0402";"R33";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"ERJ-2RKF1002X";"";"";"";"";"1";"";"";"";"";"";"";"";
"4";"10u";"CAPACITOR_NP_0805";"C0805";"C21, C22, C29, C30";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"CL21A106KAYNNNE";"";"";"";"";"1";"";"";"";"";"";"";"";
"1";"120";"RESISTOR_0402";"R0402";"R8";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"ERJ-2GEJ121X";"";"";"";"";"1";"";"";"";"";"";"";"";
"1";"150";"RESISTOR_0805";"R0805";"R15";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"ERJ-6GEYJ151V";"";"";"";"";"1";"";"";"";"";"";"";"";
"2";"1k";"RESISTOR_0402";"R0402";"R1, R12";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"ERJ-2RKF1001X";"";"";"";"";"1";"";"";"";"";"";"";"";
"1";"1u";"CAPACITOR_NP_0402";"C0402";"C23";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"CL05A105KA5NQNC";"";"";"";"";"1";"";"";"";"";"";"";"";
"2";"1u";"CAPACITOR_NP_0805";"C0805";"C16, C17";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"CL21B105KAFNNNE";"";"";"";"";"1";"";"";"";"";"";"";"";
